dataset_id,injection,f,method,auc,host_grid,w,n_test
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.02,benford,0.5414,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.02,benford_law,0.5016,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.02,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.02,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.05,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.05,benford,0.6306,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.05,benford_law,0.6257,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.05,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.05,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.1,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.1,benford,0.869,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.1,benford_law,0.8524,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.1,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.1,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.2,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.2,benford,0.9997,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.2,benford_law,0.9999,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.2,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,real_donor,0.2,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.02,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.02,benford,0.5297,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.02,benford_law,0.5036,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.02,lastdigit,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.02,lastdigit_uniform,0.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.05,encoding,1.0,100,2000,120
cbad-audit__fy2022-all-assistance-full-20260307-9-cs__total-outlayed-amount-for-overall-award__01b22c39,synthetic_finegrid,0.05,benford,0.5162,100,2000,120
